Armadura de Ferro;Uma armadura de ferro resistente que aumenta a defesa do monstro equipado.;0;500;Efeito;MONSTER
Escudo do Guardião;Um escudo poderoso que aumenta a defesa do monstro equipado.;0;800;Efeito;MONSTER
Elmo do Herói;Um elmo resistente que aumenta a defesa do monstro equipado.;0;700;Efeito;MONSTER
Amuleto da Sabedoria;Um amuleto mágico que aumenta a defesa do monstro equipado.;0;600;Efeito;MONSTER
Espelho de Reflexão;Um espelho místico que reflete ataques e aumenta a defesa do monstro equipado.;0;400;Efeito;MONSTER
Armadura Encantada;Uma armadura mágica que aumenta a defesa do monstro equipado.;0;600;Efeito;MONSTER
Escudo Divino;Um escudo abençoado pelos deuses que aumenta a defesa do monstro equipado.;0;1000;Efeito;MONSTER
Manto da Invisibilidade;Um manto que aumenta a defesa do monstro equipado e o torna invisível.;0;400;Efeito;MONSTER
Recuperação divina;Uma bênção celestial que restaura a saúde;0;1000;Efeito;PLAYER
Armadura da Determinação;Uma armadura resistente que aumenta a defesa do monstro equipado.;0;700;Efeito;MONSTER
Escudo do Destino;Um escudo que altera o destino do monstro equipado aumentando sua defesa.;0;800;Efeito;MONSTER
Amuleto da Proteção;Um amuleto sagrado que aumenta a defesa do monstro equipado.;0;800;Efeito;MONSTER
Escudo de Gelo;Um escudo feito de gelo sólido que aumenta a defesa do monstro equipado.;0;900;Efeito;MONSTER
Coroa da Realeza;Uma coroa que aumenta a defesa do monstro equipado e concede o poder do controle.;0;500;Efeito;MONSTER
Escudo de Reflexão;Um escudo místico que reflete ataques e aumenta a defesa do monstro equipado.;0;600;Efeito;MONSTER
Elmo da Resistência;Um elmo resistente que aumenta a defesa do monstro equipado.;0;800;Efeito;MONSTER
Escudo Sagrado;Um escudo abençoado que aumenta a defesa do monstro equipado.;0;1000;Efeito;MONSTER
Armadura do Destemido;Uma armadura resistente que aumenta a defesa do monstro equipado.;0;700;Efeito;MONSTER
Escudo Encantado;Um escudo mágico que aumenta a defesa do monstro equipado.;0;600;Efeito;MONSTER
Espelho de Reflexão Mágica;Um espelho mágico que reflete ataques mágicos e aumenta a defesa do monstro equipado.;0;500;Efeito;MONSTER
Escudo da Terra;Um escudo feito de rochas sólidas que aumenta a defesa do monstro equipado.;0;900;Efeito;MONSTER
Capa do Engano;Uma capa mágica que aumenta a defesa do monstro equipado e confunde o oponente.;0;400;Efeito;MONSTER
Escudo das Sombras;Um escudo que protege o monstro equipado das sombras aumentando sua defesa.;0;800;Efeito;MONSTER
Manto da Proteção;Um manto que aumenta a defesa do monstro equipado e impede a destruição por batalha.;0;600;Efeito;MONSTER
Elmo do Destino;Um elmo que altera o destino do monstro equipado aumentando sua defesa.;0;800;Efeito;MONSTER
Escudo da Luz;Um escudo brilhante que aumenta a defesa do monstro equipado.;0;1000;Efeito;MONSTER
Armadura das Estrelas;Uma armadura cósmica que aumenta a defesa do monstro equipado.;0;700;Efeito;MONSTER
Escudo da Redenção;Um escudo abençoado que aumenta a defesa do monstro equipado.;0;800;Efeito;MONSTER
Amuleto da Cura;Um amuleto sagrado que aumenta a defesa do monstro equipado e recupera pontos de vida.;0;600;Efeito;MONSTER
Escudo da Resistência;Um escudo resistente que aumenta a defesa do monstro equipado.;0;900;Efeito;MONSTER
Elmo da Determinação;Um elmo resistente que aumenta a defesa do monstro equipado.;0;800;Efeito;MONSTER
Escudo da Resistência Mágica;Um escudo místico que aumenta a defesa do monstro equipado e nega efeitos mágicos.;0;600;Efeito;MONSTER
Elmo da Determinação;Um elmo que aumenta a defesa do monstro equipado e nega efeitos de cartas.;0;800;Efeito;MONSTER
Escudo das Ilusões;Um escudo mágico que aumenta a defesa do monstro equipado e nega efeitos de cartas mágicas.;0;600;Efeito;MONSTER
Escudo da Coragem;Um escudo corajoso que aumenta a defesa do monstro equipado.;0;900;Efeito;MONSTER
Elmo da Resistência Mágica;Um elmo místico que aumenta a defesa do monstro equipado e nega efeitos mágicos.;0;800;Efeito;MONSTER
Escudo dos Ancestrais;Um escudo ancestral que aumenta a defesa do monstro equipado.;0;1000;Efeito;MONSTER
Espada Lendária;Uma espada lendária que aumenta o ataque do monstro equipado.;500;0;monstro;MONSTER
Capa da Agilidade;Uma capa que aumenta a defesa do monstro equipado e aumenta sua velocidade de movimento.;500;0;Efeito;MONSTER
Anel da Coragem;Um anel que aumenta o ataque do monstro equipado.;600;0;Efeito;MONSTER
Elmo do Poder;Um elmo místico que aumenta o ataque do monstro equipado.;600;0;Efeito;MONSTER
Adaga Envenenada;Uma adaga que envenena os inimigos e aumenta o ataque do monstro equipado.;600;0;Efeito;MONSTER
Elmo do Heroísmo;Um elmo que aumenta a defesa do monstro equipado e concede habilidades heróicas.;600;0;Efeito;MONSTER
Colar da Vitalidade;Um colar que aumenta o ataque do monstro equipado e recupera pontos de vida.;600;0;Efeito;MONSTER
Elmo do Conhecimento;Um elmo místico que aumenta o ataque do monstro equipado.;600;0;Efeito;MONSTER
Lâmina da Destruição;Uma lâmina afiada que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Adaga Sombria;Uma adaga afiada que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Lâmina da Vingança;Uma lâmina afiada que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Luvas da Destreza;Um par de luvas que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Lâmina da Justiça;Uma lâmina afiada imbuida de justiça que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Adaga das Sombras;Uma adaga sombria que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Manto da Evasão;Um manto que aumenta a defesa do monstro equipado e impede ataques diretos.;700;0;Efeito;MONSTER
Lâmina Flamejante;Uma lâmina envolta em chamas que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Adaga Enigmática;Uma adaga misteriosa que aumenta o ataque do monstro equipado.;700;0;Efeito;MONSTER
Górgona Petrificante;Uma criatura lendária com o poder de transformar seus inimigos em pedra.;800;1800;monstro;VAZIO
Luvas de Força;Um par de luvas que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Espelho de Distorção;Um espelho que distorce a realidade aumentando o ataque do monstro equipado.;800;0;Efeito;MONSTER
Bracelete da Força;Um bracelete poderoso que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Cajado da Iluminação;Um cajado místico que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Bracelete da Determinação;Um bracelete resistente que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Bracelete da Destreza;Um bracelete mágico que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Cajado do Conhecimento;Um cajado mágico que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Bracelete da Resistência;Um bracelete resistente que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Bracelete da Determinação;Um bracelete poderoso que aumenta o ataque do monstro equipado.;800;0;Efeito;MONSTER
Flecha do Destino;Uma flecha mágica que aumenta o ataque do monstro equipado.;900;0;Efeito;MONSTER
Cajado da Sabedoria;Um cajado mágico que aumenta o ataque do monstro equipado.;900;0;Efeito;MONSTER
Espada do Trovão;Uma espada que canaliza a energia do trovão para aumentar o ataque do monstro equipado.;900;0;Efeito;MONSTER
Cajado do Poder;Um cajado poderoso que aumenta o ataque do monstro equipado.;900;0;Efeito;MONSTER
Cajado da Harmonia;Um cajado harmonioso que aumenta o ataque do monstro equipado.;900;0;Efeito;MONSTER
Fada Encantada;Uma fada mágica com o poder de conceder desejos.;1000;800;monstro;VAZIO
Homem de Pedra;Um ser humano transformado em pedra possuindo uma resistência inquebrável.;1000;2000;monstro;VAZIO
Espelho da Verdade;Um espelho que revela a verdade oculta aumentando o ataque do monstro equipado.;1000;0;Efeito;MONSTER
Espada do Destino;Uma espada lendária que aumenta o ataque do monstro equipado.;1000;0;Efeito;MONSTER
Espada Congelante;Uma espada que congela seus inimigos e aumenta o ataque do monstro equipado.;1000;0;Efeito;MONSTER
Espada Relâmpago;Uma espada carregada com energia elétrica que aumenta o ataque do monstro equipado.;1100;0;Efeito;MONSTER
Espada Sagrada;Uma espada abençoada que aumenta o ataque do monstro equipado.;1100;0;Efeito;MONSTER
Espada das Trevas;Uma espada obscura que aumenta o ataque do monstro equipado.;1100;0;Efeito;MONSTER
Sábio Ancião;Um sábio com conhecimento antigo e poderes místicos.;1200;2000;monstro;VAZIO
Sacerdotisa das Águas;Uma sacerdotisa que controla os poderes da água curando e purificando.;1200;1600;monstro;VAZIO
Maga dos Ventos;Uma feiticeira habilidosa em manipular os ventos em seu favor.;1200;1600;monstro;VAZIO
Sacerdotisa Sagrada;Uma sacerdotisa abençoada com poderes divinos para curar e proteger.;1200;1800;monstro;VAZIO
Guardião da Floresta;Um guardião místico que protege a harmonia da natureza.;1200;1600;monstro;VAZIO
Espada das Chamas Eternas;Uma espada envolta em chamas que aumenta o ataque do monstro equipado.;1200;0;Efeito;MONSTER
Espada Celestial;Uma espada divina que aumenta o ataque do monstro equipado.;1200;0;Efeito;MONSTER
Sereia Encantadora;Uma sereia com uma voz encantadora que hipnotiza seus oponentes.;1400;1600;monstro;VAZIO
Serpente Venenosa;Uma serpente mortal com um veneno letal.;1400;1200;monstro;VAZIO
Banshee Lamentadora;Uma banshee assombrada que emite lamentos arrepiantes para enfraquecer seus oponentes.;1400;1600;monstro;VAZIO
Sirene Encantadora;Uma sirene com uma voz hipnotizante que controla as marés e afoga seus oponentes.;1400;1600;monstro;VAZIO
Goblin Trapaceiro;Um goblin astuto que adora pregar peças em seus adversários.;1400;1200;monstro;VAZIO
Fada da Lua;Uma fada delicada que traz luz e esperança na escuridão.;1400;1600;monstro;VAZIO
Escorpião Venenoso;Um escorpião com um ferrão venenoso pronto para atacar seus oponentes.;1400;1200;monstro;VAZIO
Sereia Encantadora;Uma sereia com uma voz hipnotizante que controla os elementos aquáticos.;1400;1600;monstro;VAZIO
Bruxa Malévola;Uma bruxa poderosa que lança maldições em seus inimigos.;1400;1200;monstro;VAZIO
Fada das Flores;Uma fada que tem o poder de fazer flores desabrocharem onde quer que vá.;1400;1200;monstro;VAZIO
Serpente Venenosa;Uma serpente cujo veneno é mortal e paralisa suas presas.;1400;1200;monstro;VAZIO
Espírito da Floresta;Um espírito guardião das florestas com poder sobre a natureza.;1500;1900;monstro;VAZIO
Serpente Escamada;Uma serpente com escamas resistentes que oferece proteção contra ataques inimigos.;1500;1800;monstro;VAZIO
Gárgula de Pedra;Uma gárgula de pedra que ganha vida durante a noite para proteger seu território.;1500;1900;monstro;VAZIO
Golem de Pedra;Um golem maciço feito de pedra sólida com uma força inabalável.;1500;1900;monstro;VAZIO
Guardião da Chama;Um guardião que protege o fogo sagrado com sua vida.;1500;1800;monstro;VAZIO
Serpente Venenosa;Uma serpente com presas venenosas capaz de paralisar seus oponentes.;1500;1300;monstro;VAZIO
Guardião da Terra;Um guardião poderoso que controla os poderes da terra criando terremotos e deslizamentos de terra.;1500;1700;monstro;VAZIO
Serpente Escamada;Uma serpente com escamas duras e afiadas que oferece proteção contra ataques.;1500;1800;monstro;VAZIO
Sereia Encantadora;Uma sereia com uma voz hipnotizante capaz de controlar as marés.;1500;1300;monstro;VAZIO
Sereia Encantadora;Uma sereia com uma voz hipnotizante capaz de controlar as marés.;1500;1300;monstro;VAZIO
Guerreiro das Sombras;Um guerreiro ágil que se move nas sombras invisível aos olhos de seus inimigos.;1500;1700;monstro;VAZIO
Soldado do Lustro Negro;Um guerreiro treinado nas artes marciais equipado com uma armadura negra reluzente.;1500;1800;monstro;VAZIO
Sacerdote Sombrio;Um sacerdote enigmático que invoca a escuridão para destruir seus oponentes.;1600;1400;monstro;VAZIO
